"age","num_fires","biomass","protec","indig","nearest_mature_biomass","lulc_sum_30","distance","cwd","sur_cover","nitro","sand","phh2o","mean_pr","mean_srad","mean_temp","mean_vpd","mean_soil","mean_aet","amazon_quarter_regions","ecoreg_469","ecoreg_473","ecoreg_474","ecoreg_476","ecoreg_480","ecoreg_481","ecoreg_482","ecoreg_496","ecoreg_497","ecoreg_505","ecoreg_507","ecoreg_508","ecoreg_511","ecoreg_518","ecoreg_529","ecoreg_540","ecoreg_567","ecoreg_570","topography_21","topography_24","topography_31","topography_34","topography_41","topography_42","pred","pred_nolag"
11,6,35.5,0,0,237,0,3976,-453,0.07303852,4344,1760,145,1876.22857142857,2156.77142857143,24.042856,8.8,3183,80.8285714285714,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15.8059102773733,48.3922491742411
1,1,26.5,0,0,238,0,4790,-318,0.48730385,5023,1236,139,2202.77142857143,2046.17142857143,26.62857,12.2,2974.2,90.1714285714286,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.08643687680796,49.0615956380346
3,6,38.5,0,0,235,0,2205,-439,0.5007133,3915,1780,156,1716.77142857143,2220.74285714286,24.185715,9.02857142857143,3384.91428571429,82.5714285714286,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.06539481865148,42.4523282015786
7,7,72,0,0,233,0,2004,-364,0.18801711,5649,1201,148,1894.82857142857,2156.94285714286,25.571428,8.42857142857143,2186.05714285714,83.2571428571429,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11.8678842540332,48.8078437636052
8,7,46,0,0,232,0,3150,-414,0.18544936,5226,1224,141,1729.82857142857,2192.2,26.814285,8.4,3306.34285714286,87.6,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,16.5138684421526,63.102145230603
7,5,56.5,0,1,235,0,1789,-423,0.17261055,4620,1667,135,1808.85714285714,2223.28571428571,25,9.45714285714286,2816.31428571429,86.5142857142857,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12.777982066704,52.8370708736159
4,3,36.5,0,0,237,0,5485,-407,0.2718973,6029,1163,147,1656.42857142857,2178.74285714286,26.471428,6.6,3941.82857142857,85.9142857142857,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,8.14771956334205,54.9432628061119
3,5,13,0,0,236,0,1741,-449,0.3614836,4344,1760,145,1785.8,2209.31428571429,24.214285,8.91428571428571,3557.94285714286,82.2285714285714,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.27374022146714,44.5398690570599
10,1,86.5,0,0,232,0,2962,-404,0.043081313,5373,1308,144,1766.34285714286,2176.05714285714,26.314285,8.22857142857143,3543.57142857143,87.6,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,26.5442912314662,83.0105971001996
5,2,72,0,0,238,0,6518,-183,0.51412266,5198,1326,124,2045,1982.54285714286,26.214285,7.22857142857143,2773.28571428571,87.5428571428571,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13.4196423975057,75.4561381779933
4,4,59,0,0,237,0,1275,-387,0.678174,4819,1311,141,2162.77142857143,2105.02857142857,25.742857,11.1428571428571,2792.77142857143,86.3142857142857,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11.2693306935474,78.9758003374351
1,8,19,0,0,235,0,6411,-436,0.1703281,3915,1780,156,1727.62857142857,2213.2,24.014286,8.82857142857143,2712.42857142857,81.2857142857143,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.06013725231038,30.256451091714
2,4,20,0,0,236,0,8698,-434,0,3915,1780,156,1745,2209.11428571429,23.971428,8.88571428571429,3037.74285714286,81.7714285714286,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.40001307306053,37.1031266374743
6,3,112.5,0,0,243,0,3179,-217,0.41027105,4581,758,115,1958.22857142857,1879.51428571429,25.457144,6.85714285714286,3428.77142857143,79.7428571428571,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18.3046277242279,87.7444249391136
4,4,77,0,0,231,0,5184,-555,0.00085592014,5064,1036,147,1654.51428571429,2214.17142857143,25.542856,7.8,3661.8,85.9714285714286,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,8.69985544859948,59.7020233644614
10,4,109,0,0,238,0,3036,-446,0.25221112,3910,1778,141,1874.02857142857,2126.28571428571,25.22857,10.1714285714286,2577.34285714286,82.9714285714286,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18.7989390754427,62.2140601651351
16,1,140,0,0,240,0,982,-299,0.36119828,4524,1049,136,2012.82857142857,2197.97142857143,26.62857,8.74285714285714,3522.45714285714,95.0571428571429,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,36.6195996266154,83.5435551175002
13,0,126,0,0,231,0,2054,-496,0.6593438,5272,1400,138,1944.48571428571,2194.05714285714,26.12857,7.82857142857143,3317.34285714286,88.8,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,36.3962661522654,95.2357520013407
6,4,87,0,0,243,0,3179,-217,0.34322396,4581,758,115,1958.22857142857,1879.51428571429,25.457144,6.85714285714286,3428.77142857143,79.7428571428571,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17.2672294845752,82.5170455541421
2,4,36.5,0,0,232,0,2921,-325,0.5343795,5708,1166,124,2578.17142857143,2182.31428571429,26.285715,6.8,2390.62857142857,91.2571428571428,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4.61735365410658,62.9222346779291
